video_id,start_sec,end_sec,annotator_id,importance,domain,reason_tag,transcript_hint,needs_review,label_protocol
IHZwWFHWa-w,0.0,2.0,ThaoAnh,1,lecture,,,false,multimodal_tvsum_style
IHZwWFHWa-w,2.0,4.0,ThaoAnh,1,lecture,,,false,multimodal_tvsum_style
IHZwWFHWa-w,4.0,6.0,ThaoAnh,2,lecture,,Last video I laid out the structure of a neural network.,false,multimodal_tvsum_style
IHZwWFHWa-w,6.0,8.0,ThaoAnh,2,lecture,,"Last video I laid out the structure of a neural network. I'll give a quick recap here so that it's fresh in our minds,",false,multimodal_tvsum_style
IHZwWFHWa-w,8.0,10.0,ThaoAnh,2,lecture,,"I'll give a quick recap here so that it's fresh in our minds,",false,multimodal_tvsum_style
IHZwWFHWa-w,10.0,12.0,ThaoAnh,2,lecture,,"I'll give a quick recap here so that it's fresh in our minds, and then I have two main goals for this video.",false,multimodal_tvsum_style
IHZwWFHWa-w,12.0,14.0,ThaoAnh,2,lecture,,"and then I have two main goals for this video. The first is to introduce the idea of gradient descent,",false,multimodal_tvsum_style
IHZwWFHWa-w,14.0,16.0,ThaoAnh,2,lecture,,"The first is to introduce the idea of gradient descent, which underlies not only how neural networks learn,",false,multimodal_tvsum_style
IHZwWFHWa-w,16.0,18.0,ThaoAnh,2,lecture,,"which underlies not only how neural networks learn,",false,multimodal_tvsum_style
IHZwWFHWa-w,18.0,20.0,ThaoAnh,2,lecture,,"which underlies not only how neural networks learn, but how a lot of other machine learning works as well.",false,multimodal_tvsum_style
IHZwWFHWa-w,20.0,22.0,ThaoAnh,2,lecture,,but how a lot of other machine learning works as well. Then after that we'll dig in a little more into how this particul,false,multimodal_tvsum_style
IHZwWFHWa-w,22.0,24.0,ThaoAnh,2,lecture,,"Then after that we'll dig in a little more into how this particular network performs,",false,multimodal_tvsum_style
IHZwWFHWa-w,24.0,26.0,ThaoAnh,2,lecture,,"Then after that we'll dig in a little more into how this particular network performs, and what those hidden layers of ne",false,multimodal_tvsum_style
IHZwWFHWa-w,26.0,28.0,ThaoAnh,2,lecture,,and what those hidden layers of neurons end up looking for.,false,multimodal_tvsum_style
IHZwWFHWa-w,28.0,30.0,ThaoAnh,2,lecture,,"As a reminder, our goal here is the classic example of handwritten digit recognition,",false,multimodal_tvsum_style
IHZwWFHWa-w,30.0,32.0,ThaoAnh,3,lecture,,"As a reminder, our goal here is the classic example of handwritten digit recognition,",false,multimodal_tvsum_style
IHZwWFHWa-w,32.0,34.0,ThaoAnh,3,lecture,,"As a reminder, our goal here is the classic example of handwritten digit recognition,",false,multimodal_tvsum_style
IHZwWFHWa-w,34.0,36.0,ThaoAnh,3,lecture,,"As a reminder, our goal here is the classic example of handwritten digit recognition, the hello world of neural networks",false,multimodal_tvsum_style
IHZwWFHWa-w,36.0,38.0,ThaoAnh,3,lecture,,"the hello world of neural networks. These digits are rendered on a 28x28 pixel grid,",false,multimodal_tvsum_style
IHZwWFHWa-w,38.0,40.0,ThaoAnh,3,lecture,,"These digits are rendered on a 28x28 pixel grid,",false,multimodal_tvsum_style
IHZwWFHWa-w,40.0,42.0,ThaoAnh,3,lecture,,"These digits are rendered on a 28x28 pixel grid, each pixel with some grayscale value between 0 and 1.",false,multimodal_tvsum_style
IHZwWFHWa-w,42.0,44.0,ThaoAnh,3,lecture,,each pixel with some grayscale value between 0 and 1. Those are what determine the activations of 784 neurons in the inp,false,multimodal_tvsum_style
IHZwWFHWa-w,44.0,46.0,ThaoAnh,3,lecture,,Those are what determine the activations of 784 neurons in the input layer of the network.,false,multimodal_tvsum_style
IHZwWFHWa-w,46.0,48.0,ThaoAnh,3,lecture,,Those are what determine the activations of 784 neurons in the input layer of the network.,false,multimodal_tvsum_style
IHZwWFHWa-w,48.0,50.0,ThaoAnh,3,lecture,,Those are what determine the activations of 784 neurons in the input layer of the network.,false,multimodal_tvsum_style
IHZwWFHWa-w,50.0,52.0,ThaoAnh,3,lecture,,Those are what determine the activations of 784 neurons in the input layer of the network. And then the activation for e,false,multimodal_tvsum_style
IHZwWFHWa-w,52.0,54.0,ThaoAnh,3,lecture,,And then the activation for each neuron in the following layers is based on a weighted,false,multimodal_tvsum_style
IHZwWFHWa-w,54.0,56.0,ThaoAnh,3,lecture,,And then the activation for each neuron in the following layers is based on a weighted sum of all the activations in the,false,multimodal_tvsum_style
IHZwWFHWa-w,56.0,58.0,ThaoAnh,3,lecture,,"sum of all the activations in the previous layer, plus some special number called a bias.",false,multimodal_tvsum_style
IHZwWFHWa-w,58.0,60.0,ThaoAnh,3,lecture,,"sum of all the activations in the previous layer, plus some special number called a bias.",false,multimodal_tvsum_style
IHZwWFHWa-w,60.0,62.0,ThaoAnh,3,lecture,,"sum of all the activations in the previous layer, plus some special number called a bias.",false,multimodal_tvsum_style
