video_id,start_sec,end_sec,annotator_id,importance,domain,reason_tag,transcript_hint,needs_review,label_protocol
waLjtcUq5Mc,0.0,2.0,annotator_1,1,podcast,,,false,multimodal_tvsum_style
waLjtcUq5Mc,2.0,4.0,annotator_1,2,podcast,,What was your first impression,false,multimodal_tvsum_style
waLjtcUq5Mc,4.0,6.0,annotator_1,2,podcast,,What was your first impression when you met Vladimir Putin for the interview?,false,multimodal_tvsum_style
waLjtcUq5Mc,6.0,8.0,annotator_1,2,podcast,,when you met Vladimir Putin for the interview? - I thought he seemed nervous,false,multimodal_tvsum_style
waLjtcUq5Mc,8.0,10.0,annotator_1,3,podcast,,- I thought he seemed nervous,false,multimodal_tvsum_style
waLjtcUq5Mc,10.0,12.0,annotator_1,3,podcast,,and I was very surprised by that.,false,multimodal_tvsum_style
waLjtcUq5Mc,12.0,14.0,annotator_1,3,podcast,,and I was very surprised by that. And I thought he seemed like someone,false,multimodal_tvsum_style
waLjtcUq5Mc,14.0,16.0,annotator_1,3,podcast,,And I thought he seemed like someone,false,multimodal_tvsum_style
waLjtcUq5Mc,16.0,18.0,annotator_1,3,podcast,,"And I thought he seemed like someone who'd overthought it a little bit, who had a plan.",false,multimodal_tvsum_style
waLjtcUq5Mc,18.0,20.0,annotator_1,3,podcast,,"who'd overthought it a little bit, who had a plan. And I don't think that's the right way",false,multimodal_tvsum_style
waLjtcUq5Mc,20.0,22.0,annotator_1,3,podcast,,"And I don't think that's the right way to go into any interview. My strong sense, having done a lot of them for a long t",false,multimodal_tvsum_style
waLjtcUq5Mc,22.0,24.0,annotator_1,3,podcast,,"My strong sense, having done a lot of them for a long time,",false,multimodal_tvsum_style
waLjtcUq5Mc,24.0,26.0,annotator_1,3,podcast,,"My strong sense, having done a lot of them for a long time, is that it's better to know what you think,",false,multimodal_tvsum_style
waLjtcUq5Mc,26.0,28.0,annotator_1,3,podcast,,"is that it's better to know what you think, to say as much as you can honestly,",false,multimodal_tvsum_style
waLjtcUq5Mc,28.0,30.0,annotator_1,3,podcast,,"to say as much as you can honestly,",false,multimodal_tvsum_style
waLjtcUq5Mc,30.0,32.0,annotator_1,3,podcast,,"to say as much as you can honestly, so you don't get confused by your own lies",false,multimodal_tvsum_style
waLjtcUq5Mc,32.0,34.0,annotator_1,3,podcast,,so you don't get confused by your own lies,false,multimodal_tvsum_style
waLjtcUq5Mc,34.0,36.0,annotator_1,3,podcast,,so you don't get confused by your own lies and just to be yourself. And I thought that he went into it,false,multimodal_tvsum_style
waLjtcUq5Mc,36.0,38.0,annotator_1,3,podcast,,And I thought that he went into it,false,multimodal_tvsum_style
waLjtcUq5Mc,38.0,40.0,annotator_1,3,podcast,,And I thought that he went into it like an over-prepared student.,false,multimodal_tvsum_style
waLjtcUq5Mc,40.0,42.0,annotator_1,3,podcast,,like an over-prepared student.,false,multimodal_tvsum_style
waLjtcUq5Mc,42.0,44.0,annotator_1,4,podcast,,"like an over-prepared student. And I kept thinking, ""Why is he nervous?""",false,multimodal_tvsum_style
waLjtcUq5Mc,44.0,46.0,annotator_1,4,podcast,,"And I kept thinking, ""Why is he nervous?"" But I guess because he thought",false,multimodal_tvsum_style
waLjtcUq5Mc,46.0,48.0,annotator_1,4,podcast,,But I guess because he thought a lot of people were gonna see it.,false,multimodal_tvsum_style
waLjtcUq5Mc,48.0,50.0,annotator_1,4,podcast,,a lot of people were gonna see it. - But he was also probably prepared,false,multimodal_tvsum_style
waLjtcUq5Mc,50.0,52.0,annotator_1,4,podcast,,- But he was also probably prepared to give you a full lesson in history as he did.,false,multimodal_tvsum_style
waLjtcUq5Mc,52.0,54.0,annotator_1,4,podcast,,to give you a full lesson in history as he did.,false,multimodal_tvsum_style
waLjtcUq5Mc,54.0,56.0,annotator_1,5,podcast,,to give you a full lesson in history as he did.,false,multimodal_tvsum_style
waLjtcUq5Mc,56.0,58.0,annotator_1,5,podcast,,"to give you a full lesson in history as he did. - (chuckles) Well, I was totally shocked by that",false,multimodal_tvsum_style
