video_id,start_sec,end_sec,annotator_id,importance,domain,reason_tag,transcript_hint,needs_review,label_protocol
aircAruvnKk,0.0,2.0,annotator_1,1,lecture,,,false,multimodal_tvsum_style
aircAruvnKk,2.0,4.0,annotator_1,1,lecture,,,false,multimodal_tvsum_style
aircAruvnKk,4.0,6.0,annotator_1,3,lecture,,This is a 3.,false,multimodal_tvsum_style
aircAruvnKk,6.0,8.0,annotator_1,3,lecture,,"It's sloppily written and rendered at an extremely low resolution of 28x28 pixels,",false,multimodal_tvsum_style
aircAruvnKk,8.0,10.0,annotator_1,3,lecture,,"It's sloppily written and rendered at an extremely low resolution of 28x28 pixels,",false,multimodal_tvsum_style
aircAruvnKk,10.0,12.0,annotator_1,3,lecture,,"It's sloppily written and rendered at an extremely low resolution of 28x28 pixels, but your brain has no trouble recogni",false,multimodal_tvsum_style
aircAruvnKk,12.0,14.0,annotator_1,3,lecture,,but your brain has no trouble recognizing it as a 3.,false,multimodal_tvsum_style
aircAruvnKk,14.0,16.0,annotator_1,3,lecture,,And I want you to take a moment to appreciate how,false,multimodal_tvsum_style
aircAruvnKk,16.0,18.0,annotator_1,3,lecture,,And I want you to take a moment to appreciate how crazy it is that brains can do this so effortlessly.,false,multimodal_tvsum_style
aircAruvnKk,18.0,20.0,annotator_1,3,lecture,,"crazy it is that brains can do this so effortlessly. I mean, this, this and this are also recognizable as 3s,",false,multimodal_tvsum_style
aircAruvnKk,20.0,22.0,annotator_1,5,lecture,,"I mean, this, this and this are also recognizable as 3s,",false,multimodal_tvsum_style
aircAruvnKk,22.0,24.0,annotator_1,5,lecture,,"I mean, this, this and this are also recognizable as 3s, even though the specific values of each pixel is very different",false,multimodal_tvsum_style
aircAruvnKk,24.0,26.0,annotator_1,5,lecture,,even though the specific values of each pixel is very different from one,false,multimodal_tvsum_style
aircAruvnKk,26.0,28.0,annotator_1,5,lecture,,even though the specific values of each pixel is very different from one image to the next.,false,multimodal_tvsum_style
aircAruvnKk,28.0,30.0,annotator_1,5,lecture,,image to the next. The particular light-sensitive cells in your eye that are firing when you,false,multimodal_tvsum_style
aircAruvnKk,30.0,32.0,annotator_1,5,lecture,,The particular light-sensitive cells in your eye that are firing when you,false,multimodal_tvsum_style
aircAruvnKk,32.0,34.0,annotator_1,5,lecture,,The particular light-sensitive cells in your eye that are firing when you see this 3 are very different from the ones fi,false,multimodal_tvsum_style
aircAruvnKk,34.0,36.0,annotator_1,5,lecture,,see this 3 are very different from the ones firing when you see this 3.,false,multimodal_tvsum_style
aircAruvnKk,36.0,38.0,annotator_1,5,lecture,,see this 3 are very different from the ones firing when you see this 3. But something in that crazy-smart visual cortex ,false,multimodal_tvsum_style
aircAruvnKk,38.0,40.0,annotator_1,4,lecture,,But something in that crazy-smart visual cortex of yours resolves these as representing,false,multimodal_tvsum_style
aircAruvnKk,40.0,42.0,annotator_1,4,lecture,,But something in that crazy-smart visual cortex of yours resolves these as representing,false,multimodal_tvsum_style
aircAruvnKk,42.0,44.0,annotator_1,4,lecture,,"But something in that crazy-smart visual cortex of yours resolves these as representing the same idea, while at the same",false,multimodal_tvsum_style
aircAruvnKk,44.0,46.0,annotator_1,4,lecture,,"the same idea, while at the same time recognizing other images as their own distinct",false,multimodal_tvsum_style
aircAruvnKk,46.0,48.0,annotator_1,4,lecture,,"the same idea, while at the same time recognizing other images as their own distinct ideas.",false,multimodal_tvsum_style
aircAruvnKk,48.0,50.0,annotator_1,4,lecture,,"ideas. But if I told you, hey, sit down and write for me a program that takes in a grid of",false,multimodal_tvsum_style
aircAruvnKk,50.0,52.0,annotator_1,4,lecture,,"But if I told you, hey, sit down and write for me a program that takes in a grid of",false,multimodal_tvsum_style
aircAruvnKk,52.0,54.0,annotator_1,4,lecture,,"But if I told you, hey, sit down and write for me a program that takes in a grid of",false,multimodal_tvsum_style
aircAruvnKk,54.0,56.0,annotator_1,4,lecture,,"But if I told you, hey, sit down and write for me a program that takes in a grid of 28x28 pixels like this and outputs a",false,multimodal_tvsum_style
aircAruvnKk,56.0,58.0,annotator_1,4,lecture,,"28x28 pixels like this and outputs a single number between 0 and 10,",false,multimodal_tvsum_style
aircAruvnKk,58.0,60.0,annotator_1,4,lecture,,"28x28 pixels like this and outputs a single number between 0 and 10, telling you what it thinks the digit is, well the t",false,multimodal_tvsum_style
aircAruvnKk,60.0,62.0,annotator_1,4,lecture,,"telling you what it thinks the digit is, well the task goes from comically trivial to",false,multimodal_tvsum_style
aircAruvnKk,62.0,64.0,annotator_1,4,lecture,,"telling you what it thinks the digit is, well the task goes from comically trivial to",false,multimodal_tvsum_style
aircAruvnKk,64.0,66.0,annotator_1,4,lecture,,"telling you what it thinks the digit is, well the task goes from comically trivial to dauntingly difficult.",false,multimodal_tvsum_style
aircAruvnKk,66.0,68.0,annotator_1,4,lecture,,"dauntingly difficult. Unless you've been living under a rock, I think I hardly need to motivate the relevance",false,multimodal_tvsum_style
aircAruvnKk,68.0,70.0,annotator_1,3,lecture,,"Unless you've been living under a rock, I think I hardly need to motivate the relevance",false,multimodal_tvsum_style
aircAruvnKk,70.0,72.0,annotator_1,3,lecture,,"Unless you've been living under a rock, I think I hardly need to motivate the relevance and importance of machine learni",false,multimodal_tvsum_style
aircAruvnKk,72.0,74.0,annotator_1,3,lecture,,and importance of machine learning and neural networks to the present and to the future.,false,multimodal_tvsum_style
aircAruvnKk,74.0,76.0,annotator_1,3,lecture,,and importance of machine learning and neural networks to the present and to the future. But what I want to do here is s,false,multimodal_tvsum_style
aircAruvnKk,76.0,78.0,annotator_1,3,lecture,,"But what I want to do here is show you what a neural network actually is,",false,multimodal_tvsum_style
aircAruvnKk,78.0,80.0,annotator_1,3,lecture,,"But what I want to do here is show you what a neural network actually is, assuming no background, and to help visualize ",false,multimodal_tvsum_style
aircAruvnKk,80.0,82.0,annotator_1,3,lecture,,"assuming no background, and to help visualize what it's doing,",false,multimodal_tvsum_style
aircAruvnKk,82.0,84.0,annotator_1,3,lecture,,"assuming no background, and to help visualize what it's doing, not as a buzzword but as a piece of math.",false,multimodal_tvsum_style
aircAruvnKk,84.0,86.0,annotator_1,3,lecture,,"not as a buzzword but as a piece of math. My hope is that you come away feeling like the structure itself is motivated,",false,multimodal_tvsum_style
aircAruvnKk,86.0,88.0,annotator_1,3,lecture,,"My hope is that you come away feeling like the structure itself is motivated,",false,multimodal_tvsum_style
