video_id,start_sec,end_sec,annotator_id,importance,domain,reason_tag,transcript_hint,needs_review,label_protocol
oUUVRa2SNWU,0.0,2.0,annotator_1,,standup,,,false,multimodal_tvsum_style
oUUVRa2SNWU,2.0,4.0,annotator_1,,standup,,,false,multimodal_tvsum_style
oUUVRa2SNWU,4.0,6.0,annotator_1,,standup,,"- Of course, every race has its racist, awful people.",false,multimodal_tvsum_style
oUUVRa2SNWU,6.0,8.0,annotator_1,,standup,,"- Of course, every race has its racist, awful people.",false,multimodal_tvsum_style
oUUVRa2SNWU,8.0,10.0,annotator_1,,standup,,"- Of course, every race has its racist, awful people. The problem is we keep comparing the worst 10% of one race",false,multimodal_tvsum_style
oUUVRa2SNWU,10.0,12.0,annotator_1,,standup,,The problem is we keep comparing the worst 10% of one race,false,multimodal_tvsum_style
oUUVRa2SNWU,12.0,14.0,annotator_1,,standup,,The problem is we keep comparing the worst 10% of one race,false,multimodal_tvsum_style
oUUVRa2SNWU,14.0,16.0,annotator_1,,standup,,The problem is we keep comparing the worst 10% of one race,false,multimodal_tvsum_style
oUUVRa2SNWU,16.0,18.0,annotator_1,,standup,,with like the best 10% of another race.,false,multimodal_tvsum_style
oUUVRa2SNWU,18.0,20.0,annotator_1,,standup,,with like the best 10% of another race.,false,multimodal_tvsum_style
oUUVRa2SNWU,20.0,22.0,annotator_1,,standup,,"Right, which is obviously a mistake.",false,multimodal_tvsum_style
oUUVRa2SNWU,22.0,24.0,annotator_1,,standup,,"Right, which is obviously a mistake.",false,multimodal_tvsum_style
oUUVRa2SNWU,24.0,26.0,annotator_1,,standup,,Because what we should be doing,false,multimodal_tvsum_style
oUUVRa2SNWU,26.0,28.0,annotator_1,,standup,,Because what we should be doing is we should be getting the worst 10% of every race.,false,multimodal_tvsum_style
oUUVRa2SNWU,28.0,30.0,annotator_1,,standup,,is we should be getting the worst 10% of every race.,false,multimodal_tvsum_style
oUUVRa2SNWU,30.0,32.0,annotator_1,,standup,,is we should be getting the worst 10% of every race.,false,multimodal_tvsum_style
oUUVRa2SNWU,32.0,34.0,annotator_1,,standup,,And comparing that.,false,multimodal_tvsum_style
oUUVRa2SNWU,34.0,36.0,annotator_1,,standup,,And comparing that.,false,multimodal_tvsum_style
oUUVRa2SNWU,36.0,38.0,annotator_1,,standup,,So we can figure out which is the worst race.,false,multimodal_tvsum_style
oUUVRa2SNWU,38.0,40.0,annotator_1,,standup,,So we can figure out which is the worst race.,false,multimodal_tvsum_style
oUUVRa2SNWU,40.0,42.0,annotator_1,,standup,,,false,multimodal_tvsum_style
oUUVRa2SNWU,42.0,44.0,annotator_1,,standup,,,false,multimodal_tvsum_style
oUUVRa2SNWU,44.0,46.0,annotator_1,,standup,,"In fact, you know what?",false,multimodal_tvsum_style
oUUVRa2SNWU,46.0,48.0,annotator_1,,standup,,"In fact, you know what? Fuck it. Let's do it right now. Yeah, let's do it right now.",false,multimodal_tvsum_style
oUUVRa2SNWU,48.0,50.0,annotator_1,,standup,,"Yeah, let's do it right now. Let's figure out which is the worst race.",false,multimodal_tvsum_style
oUUVRa2SNWU,50.0,52.0,annotator_1,,standup,,"Let's figure out which is the worst race. Right now, okay?",false,multimodal_tvsum_style
oUUVRa2SNWU,52.0,54.0,annotator_1,,standup,,"Right now, okay? You guys up for it? - Yeah. - All right, okay, cool.",false,multimodal_tvsum_style
oUUVRa2SNWU,54.0,56.0,annotator_1,,standup,,"- Yeah. - All right, okay, cool. On three, I want you to shout out which race",false,multimodal_tvsum_style
oUUVRa2SNWU,56.0,58.0,annotator_1,,standup,,"On three, I want you to shout out which race you think is the worst.",false,multimodal_tvsum_style
oUUVRa2SNWU,58.0,60.0,annotator_1,,standup,,you think is the worst.,false,multimodal_tvsum_style
oUUVRa2SNWU,60.0,62.0,annotator_1,,standup,,"All right, Okay. No, don't worry, we'll all do it together.",false,multimodal_tvsum_style
oUUVRa2SNWU,62.0,64.0,annotator_1,,standup,,"No, don't worry, we'll all do it together. We'll all do it together.",false,multimodal_tvsum_style
oUUVRa2SNWU,64.0,66.0,annotator_1,,standup,,"I'll join in, of course, I'll join in.",false,multimodal_tvsum_style
oUUVRa2SNWU,66.0,68.0,annotator_1,,standup,,"I'll join in, of course, I'll join in. Right, don't worry.",false,multimodal_tvsum_style
oUUVRa2SNWU,68.0,70.0,annotator_1,,standup,,"Right, don't worry. This is a comedy show. This is a safe space.",false,multimodal_tvsum_style
oUUVRa2SNWU,70.0,72.0,annotator_1,,standup,,This is a safe space. We asked you to put your phones away,false,multimodal_tvsum_style
oUUVRa2SNWU,72.0,74.0,annotator_1,,standup,,We asked you to put your phones away for this moment right now.,false,multimodal_tvsum_style
oUUVRa2SNWU,74.0,76.0,annotator_1,,standup,,for this moment right now. Now it's the time to let it out.,false,multimodal_tvsum_style
oUUVRa2SNWU,76.0,78.0,annotator_1,,standup,,"Now it's the time to let it out. This is it, don't barrel it up and go crazy outside.",false,multimodal_tvsum_style
oUUVRa2SNWU,78.0,80.0,annotator_1,,standup,,"This is it, don't barrel it up and go crazy outside.",false,multimodal_tvsum_style
oUUVRa2SNWU,80.0,82.0,annotator_1,,standup,,"This is it, don't barrel it up and go crazy outside. Let's lay out now. Let the demons out now, all right?",false,multimodal_tvsum_style
oUUVRa2SNWU,82.0,84.0,annotator_1,,standup,,"Let the demons out now, all right?",false,multimodal_tvsum_style
oUUVRa2SNWU,84.0,86.0,annotator_1,,standup,,"You don't even have to be specific, okay?",false,multimodal_tvsum_style
oUUVRa2SNWU,86.0,88.0,annotator_1,,standup,,"You don't even have to be specific, okay? Just shout the color.",false,multimodal_tvsum_style
oUUVRa2SNWU,88.0,90.0,annotator_1,,standup,,Just shout the color.,false,multimodal_tvsum_style
oUUVRa2SNWU,90.0,92.0,annotator_1,,standup,,"Guys, we all know what the answer's gonna be.",false,multimodal_tvsum_style
oUUVRa2SNWU,92.0,94.0,annotator_1,,standup,,"Guys, we all know what the answer's gonna be.",false,multimodal_tvsum_style
oUUVRa2SNWU,94.0,96.0,annotator_1,,standup,,Who are we fooling here?,false,multimodal_tvsum_style
oUUVRa2SNWU,96.0,98.0,annotator_1,,standup,,"Who are we fooling here? All right, okay. On three, worst race, on three, okay?",false,multimodal_tvsum_style
